category,condition,page_url,image_url,index,status
Musculoskeletal/Spine,Clavicle fracture,https://radiopaedia.org/articles/clavicle-fracture,https://prod-images-static.radiopaedia.org/images/27227555/1704e1789edd0dfd3160b36baf9b796907d2f07c548bdd531bb9a42bd0f80a35_big_gallery.jpeg,3,ok
Musculoskeletal/Spine,Orbital fracture,https://radiopaedia.org/articles/orbital-blowout-fracture,https://prod-images-static.radiopaedia.org/images/5772998/3a2e03d34953613f911fd737922e15_gallery.jpg,1,ok
Musculoskeletal/Spine,Orbital fracture,https://radiopaedia.org/articles/orbital-blowout-fracture,https://prod-images-static.radiopaedia.org/images/5772998/3a2e03d34953613f911fd737922e15_big_gallery.jpg,2,ok
Musculoskeletal/Spine,Orbital fracture,https://radiopaedia.org/articles/orbital-blowout-fracture,https://prod-images-static.radiopaedia.org/images/54243544/coronal_soft.Seq302.Ser0.Img41_big_gallery.jpeg,3,ok
Musculoskeletal/Spine,Scoliosis,https://radiopaedia.org/articles/scoliosis,https://prod-images-static.radiopaedia.org/images/43633741/cec91d9ab63f34206abbd87836fdd9_gallery.jpeg,1,ok
Musculoskeletal/Spine,Scoliosis,https://radiopaedia.org/articles/scoliosis,https://prod-images-static.radiopaedia.org/images/43633741/cec91d9ab63f34206abbd87836fdd9_big_gallery.jpeg,2,ok
Musculoskeletal/Spine,Scoliosis,https://radiopaedia.org/articles/scoliosis,https://prod-images-static.radiopaedia.org/images/17198/d6a5a89c7a0d95b2092dbd174516d6_big_gallery.jpeg,3,ok
Musculoskeletal/Spine,Osteomyelitis,https://radiopaedia.org/articles/osteomyelitis,https://prod-images-static.radiopaedia.org/images/56149590/Untitled_Artwork__9__gallery.jpeg,1,ok
Musculoskeletal/Spine,Osteomyelitis,https://radiopaedia.org/articles/osteomyelitis,https://prod-images-static.radiopaedia.org/images/56149590/Untitled_Artwork__9__big_gallery.jpeg,2,ok
Musculoskeletal/Spine,Osteomyelitis,https://radiopaedia.org/articles/osteomyelitis,https://prod-images-static.radiopaedia.org/images/16522/8ada203fa69e9f76dfa3b06fc52f7fdd2222b0946e812010001c7c0541dd2d49_big_gallery.jpeg,3,ok
Musculoskeletal/Spine,Osteoarthritis,https://radiopaedia.org/articles/osteoarthritis,https://prod-images-static.radiopaedia.org/images/49954621/b6c0d9b61472c3be0a4cfd8d7977ef_gallery.jpeg,1,ok
Musculoskeletal/Spine,Osteoarthritis,https://radiopaedia.org/articles/osteoarthritis,https://prod-images-static.radiopaedia.org/images/49954621/b6c0d9b61472c3be0a4cfd8d7977ef_big_gallery.jpeg,2,ok
Musculoskeletal/Spine,Osteoarthritis,https://radiopaedia.org/articles/osteoarthritis,https://prod-images-static.radiopaedia.org/images/135647/2eeee0a3ef1b6191d8a0684218e676_big_gallery.jpg,3,ok
Musculoskeletal/Spine,Cervical spondylosis,,,,not_found
Musculoskeletal/Spine,Spinal stenosis,,,,not_found
Musculoskeletal/Spine,Herniated disc,https://radiopaedia.org/articles/disc-herniation,https://prod-images-static.radiopaedia.org/images/24786/904f84d345d72215528758bee6f2cc_gallery.jpeg,1,ok
Musculoskeletal/Spine,Herniated disc,https://radiopaedia.org/articles/disc-herniation,https://prod-images-static.radiopaedia.org/images/24786/904f84d345d72215528758bee6f2cc_big_gallery.jpeg,2,ok
Musculoskeletal/Spine,Herniated disc,https://radiopaedia.org/articles/disc-herniation,https://prod-images-static.radiopaedia.org/images/12738056/076a23012e343a4b8e7452e3dc0b0a_big_gallery.jpg,3,ok
Musculoskeletal/Spine,Spondylolisthesis,https://radiopaedia.org/articles/spondylolisthesis,https://prod-images-static.radiopaedia.org/images/34972758/8f3a91c6cbf57f391fbac56d70de71_gallery.jpeg,1,ok
Musculoskeletal/Spine,Spondylolisthesis,https://radiopaedia.org/articles/spondylolisthesis,https://prod-images-static.radiopaedia.org/images/34972758/8f3a91c6cbf57f391fbac56d70de71_big_gallery.jpeg,2,ok
Musculoskeletal/Spine,Spondylolisthesis,https://radiopaedia.org/articles/spondylolisthesis,https://prod-images-static.radiopaedia.org/images/4092009/8ddb0422f1b694c63891f9deda56aa_big_gallery.jpg,3,ok
Musculoskeletal/Spine,Ankylosing spondylitis,,,,not_found
Soft Tissue/Joints,Rotator cuff tear,https://radiopaedia.org/articles/rotator-cuff-tear,https://prod-images-static.radiopaedia.org/images/1604665/9ab8522fa03bb580792a06226a72e3_gallery.jpg,1,ok
Soft Tissue/Joints,Rotator cuff tear,https://radiopaedia.org/articles/rotator-cuff-tear,https://prod-images-static.radiopaedia.org/images/1604665/9ab8522fa03bb580792a06226a72e3_big_gallery.jpg,2,ok
Soft Tissue/Joints,Rotator cuff tear,https://radiopaedia.org/articles/rotator-cuff-tear,https://prod-images-static.radiopaedia.org/images/1181097/cf6188085df7990d397028a30ba5cd_big_gallery.jpg,3,ok
Soft Tissue/Joints,Meniscal tear,https://radiopaedia.org/articles/meniscal-tear,https://prod-images-static.radiopaedia.org/images/32634699/7e86921ae743195b5530881a1a157b_gallery.jpeg,1,ok
Soft Tissue/Joints,Meniscal tear,https://radiopaedia.org/articles/meniscal-tear,https://prod-images-static.radiopaedia.org/images/32634699/7e86921ae743195b5530881a1a157b_big_gallery.jpeg,2,ok
Soft Tissue/Joints,Meniscal tear,https://radiopaedia.org/articles/meniscal-tear,https://prod-images-static.radiopaedia.org/images/52121909/b7689ccd662e817b60eeef6b577677_big_gallery.jpeg,3,ok
Soft Tissue/Joints,ACL tear,https://radiopaedia.org/articles/acl-tear,https://prod-images-static.radiopaedia.org/images/2880696/fe8e9a9dd90d993e704da196b43d84_gallery.jpg,1,ok
